AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,1
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,0
WOLVES,3.0,2.0,3.0,10.0,2.0,15.0,0.0,34.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,LEEDS,2.0,6.0,1.0,25.0,10.0,7.0,0.0,76.0,1
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,1
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,0
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,-1
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,-1
LEEDS,2.0,4.0,4.0,9.0,5.0,24.0,1.0,55.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,0
LEICESTER,2.0,3.0,5.0,13.0,6.0,16.0,2.0,62.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,0
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,1
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,0
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,1
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,-1
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,WOLVES,0.0,8.0,2.0,24.0,10.0,20.0,0.0,100.0,0
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,0
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,LEICESTER,2.0,6.0,1.0,18.0,9.0,13.0,1.0,66.0,1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,-1
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,0
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,-1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,1
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,LEEDS,2.0,6.0,1.0,25.0,10.0,7.0,0.0,76.0,1
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,0
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,1
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,1
WOLVES,3.0,2.0,3.0,10.0,2.0,15.0,0.0,34.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,-1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,0
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,0
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,0
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,0
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,1
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,-1
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,-1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,1
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,1
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,1
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,-1
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,1
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,1
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,1
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,1
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,-1
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,-1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,1
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,0
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,1
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,0
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,0
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,0
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,-1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,-1
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,1
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,0
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,0
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,0
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,1
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,0
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,1
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,-1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,0
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,-1
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,-1
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,-1
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,-1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,1
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,1
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,0
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,-1
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,0
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,0
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,0
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,1
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,0
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,-1
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,1
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,-1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,0
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,1
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,1
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,1
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,-1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,1
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,0
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,1
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,0
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,0
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,0
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,-1
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,0
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,1
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,1
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,1
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,-1
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,-1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,0
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,0
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,-1
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,-1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,-1
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,-1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,0
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,1
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,-1
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,-1
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,0
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,1
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,1
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,-1
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,0
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,-1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,-1
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,-1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,1
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,1
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,0
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,1
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,1
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,0
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,-1
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,1
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,1
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,1
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,LIVERPOOL,3.0,2.0,4.0,9.0,6.0,14.0,2.0,53.0,1
MAN CITY,2.0,3.0,4.0,15.0,3.0,12.0,1.0,87.0,TOTTENHAM,1.0,6.0,2.0,15.0,5.0,15.0,0.0,80.0,-1
NEWCASTLE,4.0,3.0,3.0,14.0,6.0,14.0,0.0,90.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,0
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,0
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,CHELSEA,6.0,2.0,2.0,9.0,4.0,15.0,0.0,45.0,0
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,BIRMINGHAM,4.0,3.0,2.0,8.0,2.0,16.0,3.0,60.0,-1
FULHAM,5.0,3.0,2.0,16.0,8.0,12.0,1.0,56.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,0
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,PORTSMOUTH,0.0,6.0,4.0,18.0,8.0,10.0,0.0,59.0,0
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,EVERTON,1.0,6.0,2.0,16.0,10.0,10.0,1.0,65.0,0
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,-1
MIDDLESBROUGH,2.0,5.0,3.0,6.0,1.0,18.0,0.0,62.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,1
TOTTENHAM,4.0,5.0,1.0,14.0,3.0,15.0,0.0,69.0,SOUTHAMPTON,2.0,3.0,4.0,8.0,5.0,12.0,0.0,74.0,1
LIVERPOOL,4.0,4.0,1.0,15.0,5.0,10.0,0.0,70.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,1
PORTSMOUTH,5.0,4.0,0.0,18.0,6.0,19.0,0.0,62.0,ARSENAL,6.0,0.0,4.0,6.0,3.0,18.0,0.0,52.0,-1
CHARLTON,3.0,3.0,3.0,13.0,7.0,12.0,2.0,48.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,1
ARSENAL,7.0,0.0,2.0,16.0,7.0,13.0,1.0,68.0,FULHAM,3.0,4.0,2.0,15.0,8.0,13.0,1.0,72.0,1
BIRMINGHAM,3.0,3.0,3.0,8.0,3.0,14.0,2.0,43.0,MIDDLESBROUGH,3.0,2.0,3.0,7.0,3.0,17.0,1.0,63.0,1
BLACKBURN,3.0,5.0,1.0,13.0,7.0,16.0,1.0,73.0,NEWCASTLE,2.0,2.0,5.0,16.0,8.0,16.0,1.0,55.0,0
CHELSEA,7.0,1.0,1.0,20.0,12.0,7.0,1.0,52.0,ASTON VILLA,1.0,6.0,3.0,16.0,5.0,10.0,0.0,60.0,1
EVERTON,5.0,2.0,3.0,15.0,9.0,16.0,1.0,70.0,MAN CITY,3.0,5.0,2.0,14.0,4.0,14.0,1.0,59.0,1
MAN UNITED,8.0,1.0,1.0,24.0,12.0,10.0,0.0,73.0,BOLTON,3.0,5.0,2.0,21.0,4.0,11.0,1.0,74.0,1
SOUTHAMPTON,5.0,4.0,1.0,11.0,4.0,13.0,1.0,75.0,CHARLTON,5.0,2.0,3.0,8.0,5.0,20.0,0.0,82.0,0
ASTON VILLA,5.0,1.0,3.0,13.0,8.0,9.0,0.0,69.0,MAN UNITED,7.0,2.0,0.0,6.0,2.0,19.0,1.0,37.0,-1
BOLTON,2.0,1.0,6.0,10.0,5.0,17.0,0.0,86.0,BLACKBURN,3.0,5.0,2.0,14.0,8.0,12.0,1.0,72.0,-1
